wwExp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2015,'860791000',210,  ,KG,0,1315,10829,0,0,0,0,0,0,0,0,0,0,5,653,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1457,0,651,4289,0,443,4430,0,0,0
2,2015,'860791000',218,  ,KG,0,800,7697,0,0,0,0,0,0,0,800,7697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860791000',304,  ,KG,0,16,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,259,0,0,0
2,2015,'860791000',601,  ,KG,0,2475,12422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475,12422,0,0,0,0,0,0,0,0,0
2,2015,'860799000',103,  ,KG,0,204109,154818,0,285,765,0,75314,29461,0,1585,5683,0,2820,20636,0,3232,18091,0,13906,10119,0,0,0,0,91193,45038,0,2414,12248,0,319,4528,0,141,379,0,12900,7870
2,2015,'860799000',105,  ,KG,0,847758,1240338,0,78534,86335,0,70707,73443,0,60458,73408,0,81880,126606,0,74978,107630,0,64566,97998,0,85029,133681,0,72170,116652,0,63611,138356,0,67110,119510,0,84996,101995,0,43719,64724
2,2015,'860799000',106,  ,KG,0,23053,31463,0,4735,2630,0,4818,3220,0,147,372,0,897,5547,0,686,2087,0,435,2917,0,234,718,0,1117,3540,0,223,912,0,4664,4128,0,5097,5392,0,0,0
2,2015,'860799000',108,  ,KG,0,150,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1112
2,2015,'860799000',110,  ,KG,0,14245,2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,577,0,7332,1167,0,6664,881,0,0,0
2,2015,'860799000',111,  ,KG,0,1677,3461,0,0,0,0,0,0,0,0,0,0,213,227,0,0,0,0,0,0,0,0,0,0,100,843,0,289,436,0,671,838,0,213,227,0,191,890
