Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2020,'060220000',218,  ,NO,0,264,13047,0,0,0,0,33,2292,0,0,0,0,0,0,0,15,1213,0,88,4861,0,0,0,0,0,0,0,0,0,0,32,2537,0,0,0,0,96,2144
2,2020,'060220000',220,  ,NO,0,4620,3827,0,0,0,0,80,280,0,1300,789,0,1400,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,1429
2,2020,'060220000',224,  ,NO,0,1000,1068,0,0,0,0,0,0,0,0,0,0,1000,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060220000',304,  ,NO,0,542,2674,0,0,0,0,0,0,0,0,0,0,489,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,908,0,0,0,0,0,0
2,2020,'060220000',409,  ,NO,0,200,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060220000',601,  ,NO,0,100,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060220000',606,  ,NO,0,4544,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026,1319,0,1518,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060230000',208,  ,NO,0,1658,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658,810,0,0,0
2,2020,'060240000',205,  ,NO,0,65787,28749,0,12898,5566,0,2209,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27247,11879,0,0,0,0,23433,9947
2,2020,'060240000',207,  ,NO,0,35675,20109,0,1100,721,0,32840,18020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,1368
2,2020,'060240000',208,  ,NO,0,310,389,0,0,0,0,310,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060290011',103,  ,KG,0,12535,867,0,0,0,0,0,0,0,12535,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060290011',105,  ,KG,0,36633457,2494628,0,2898557,205180,0,2204070,159709,0,2463624,171013,0,3009457,221069,0,2697635,189115,0,2389016,162672,0,2345918,162318,0,2710461,187306,0,2929646,196535,0,3793138,250330,0,4548390,294024,0,4643545,295357
2,2020,'060290019',105,  ,KG,0,703948,34961,0,43000,1977,0,42800,1970,0,43280,2187,0,41980,1961,0,67370,3265,0,125170,5818,0,132164,7463,0,61730,3379,0,33534,1706,0,24850,1123,0,43930,2048,0,44140,2064
2,2020,'060290019',106,  ,KG,0,25188,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,336,0,0,0,0,9333,634,0,3750,417,0,0,0,0,9600,680
2,2020,'060290019',207,  ,KG,0,3821033,193393,0,627633,30074,0,521084,24558,0,452169,21251,0,164869,8113,0,277732,13975,0,212819,11026,0,277529,14720,0,185569,10142,0,207609,11513,0,378925,20040,0,301516,16478,0,213579,11503
2,2020,'060290019',208,  ,KG,0,1445244,72277,0,109672,5046,0,158072,6966,0,113412,5071,0,136432,6100,0,179058,8804,0,114106,5837,0,161985,8509,0,90799,4949,0,115192,6286,0,110325,6122,0,89252,4903,0,66939,3684
2,2020,'060290019',210,  ,KG,0,113140,37263,0,6400,2009,0,10400,3371,0,2800,911,0,14600,4654,0,6400,2039,0,11000,3666,0,14600,4749,0,13400,4468,0,7000,2366,0,12000,4210,0,7400,2435,0,7140,2385
2,2020,'060290019',220,  ,KG,0,7790,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7790,2630,0,0,0,0,0,0,0,0,0
2,2020,'060290019',304,  ,KG,0,170978,51184,0,15191,4639,0,16384,5135,0,6473,1936,0,15213,4545,0,15370,4386,0,6036,1918,0,41257,12428,0,0,0,0,5796,1706,0,27391,8259,0,7745,2198,0,14122,4034
2,2020,'060290090',103,  ,KG,0,51652,120073,0,62,749,0,124,1447,0,26272,55064,0,16544,23451,0,1150,7418,0,519,2738,0,167,1945,0,84,213,0,2993,5288,0,2247,8594,0,822,8211,0,668,4955
2,2020,'060290090',105,  ,KG,0,1516994,878632,0,67600,46053,0,76020,47246,0,208133,101859,0,120059,68845,0,157004,87930,0,176141,151377,0,125829,69723,0,128873,45520,0,118875,54464,0,107970,85105,0,98174,54250,0,132316,66260
2,2020,'060290090',106,  ,KG,0,3517558,3939857,0,280913,332822,0,248616,328272,0,264772,297215,0,305824,332652,0,276504,303216,0,282152,309572,0,279829,320126,0,251922,286543,0,327198,333207,0,345646,355334,0,299566,343817,0,354616,397081
2,2020,'060290090',110,  ,KG,0,85397,124394,0,1540,3460,0,3818,5847,0,2035,5524,0,27342,30391,0,9377,10839,0,10067,14381,0,9347,11483,0,159,515,0,10038,17621,0,6021,12654,0,5193,10494,0,460,1185
2,2020,'060290090',111,  ,KG,0,240420,262469,0,12061,18429,0,13372,15118,0,35775,39432,0,32818,33746,0,15455,19456,0,26661,24346,0,8009,15568,0,22122,17748,0,22990,19745,0,18276,20883,0,15386,19684,0,17495,18314
2,2020,'060290090',112,  ,KG,0,81244,195135,0,4808,11524,0,3618,9340,0,4972,10721,0,6879,15720,0,9503,23191,0,8391,20483,0,8916,21476,0,8780,21088,0,9184,22510,0,5937,13913,0,5500,13703,0,4756,11466
2,2020,'060290090',113,  ,KG,0,8845,21632,0,1031,2073,0,871,1653,0,1182,2476,0,0,0,0,510,1380,0,615,1512,0,1042,2866,0,1407,4397,0,730,1815,0,380,908,0,612,1510,0,465,1042
2,2020,'060290090',117,  ,KG,0,138353,87733,0,16947,7135,0,3135,4072,0,15649,9057,0,2380,4134,0,25508,7891,0,19120,11339,0,12828,10208,0,2991,5537,0,7529,7143,0,14610,10163,0,7112,6014,0,10544,5040
2,2020,'060290090',118,  ,KG,0,45265,115142,0,2820,6651,0,2361,5951,0,3801,6570,0,4300,9668,0,2832,8061,0,3367,7833,0,3488,8019,0,5358,13607,0,4047,10333,0,7389,24225,0,3295,9314,0,2207,4910
2,2020,'060290090',123,  ,KG,0,15740,141614,0,1137,14533,0,1584,15872,0,1034,21758,0,1077,16608,0,717,3813,0,1915,21600,0,940,7644,0,1656,9685,0,969,5635,0,1671,7308,0,1130,7203,0,1910,9955
2,2020,'060290090',125,  ,KG,0,30146,64347,0,993,2517,0,3860,7786,0,4100,9819,0,2962,6216,0,2172,4144,0,2546,4997,0,3507,6750,0,899,3082,0,3080,6037,0,2596,4988,0,2238,4813,0,1193,3198
2,2020,'060290090',143,  ,KG,0,119,1624,0,0,0,0,77,812,0,20,307,0,0,0,0,0,0,0,2,273,0,0,0,0,0,0,0,0,0,0,0,0,0,20,232,0,0,0
2,2020,'060290090',204,  ,KG,0,6026,29700,0,120,526,0,150,661,0,510,2658,0,570,2719,0,215,1043,0,735,3600,0,535,2633,0,660,3102,0,851,4724,0,510,2406,0,565,2722,0,605,2906
2,2020,'060290090',205,  ,KG,0,531,5214,0,0,0,0,10,594,0,70,1272,0,0,0,0,331,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1169,0,70,857,0,0,0
2,2020,'060290090',206,  ,KG,0,588,2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,961,0,0,0,0,0,0,0,0,0,0,0,0,0,396,1832,0,0,0
2,2020,'060290090',207,  ,KG,0,202436,695202,0,11050,31671,0,34810,81843,0,30740,73455,0,35281,176599,0,18948,83894,0,13978,54480,0,6597,23369,0,2604,11032,0,8969,34200,0,10819,36652,0,16582,49851,0,12058,38156
2,2020,'060290090',208,  ,KG,0,697,2183,0,0,0,0,221,386,0,236,588,0,100,547,0,0,0,0,0,0,0,0,0,0,0,0,0,140,662,0,0,0,0,0,0,0,0,0
2,2020,'060290090',210,  ,KG,0,3255,2497,0,0,0,0,1366,1208,0,38,294,0,1851,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060290090',213,  ,KG,0,31065,95046,0,728,2976,0,6478,6875,0,5391,12811,0,522,3162,0,490,1968,0,488,2310,0,437,3808,0,1064,3984,0,2198,11518,0,6664,24128,0,4137,11684,0,2468,9822
2,2020,'060290090',217,  ,KG,0,8536,4652,0,7093,3877,0,0,0,0,0,0,0,1443,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060290090',218,  ,KG,0,222815,288070,0,6084,11755,0,14416,16060,0,54898,39995,0,30608,24745,0,5373,10619,0,56732,103793,0,7942,10884,0,172,352,0,16905,19985,0,21815,31639,0,4450,10960,0,3420,7283
2,2020,'060290090',220,  ,KG,0,5317,25351,0,0,0,0,889,2764,0,713,4400,0,383,1540,0,997,3465,0,406,2249,0,114,1047,0,50,368,0,28,499,0,0,0,0,1589,7658,0,148,1361
2,2020,'060290090',223,  ,KG,0,849,6316,0,0,0,0,0,0,0,3,453,0,366,2396,0,376,1720,0,35,949,0,35,229,0,0,0,0,34,569,0,0,0,0,0,0,0,0,0
2,2020,'060290090',234,  ,KG,0,741,635,0,0,0,0,568,263,0,173,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060290090',245,  ,KG,0,168,6210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2554,0,30,1270,0,10,816,0,0,0,0,4,1178,0,42,392,0,0,0
2,2020,'060290090',304,  ,KG,0,8015,47405,0,65,1554,0,1565,4691,0,805,7071,0,834,3787,0,918,3932,0,439,2449,0,451,2073,0,479,4258,0,508,4476,0,742,5689,0,938,4243,0,271,3182
2,2020,'060290090',305,  ,KG,0,104620,35504,0,18250,4867,0,1520,1730,0,200,244,0,0,0,0,13500,7997,0,0,0,0,18000,2509,0,18000,3428,0,17150,7448,0,0,0,0,18000,7281,0,0,0
2,2020,'060290090',306,  ,KG,0,417130,108975,0,23345,5902,0,23656,6937,0,607,3342,0,42610,14606,0,6655,6990,0,24256,10019,0,25127,8989,0,46486,9662,0,88268,18680,0,47104,6920,0,88783,15765,0,233,1163
